Rapport sur le planning individuel,,SG_fichier pour LM Planning individuel full periode de planif,,,,,,,
Période (dates) :,,6/26/17 - 7/9/17,,,,,,,
Site,Fuseau horaire,Equipe,ID employé,Agent,Date,Heures payées,Etat du planning,Heure de début :,Heure de fin :
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,7/4/17,7:48,SG- Telephone 3933_SG CRC Nanterre,8:30 AM,5:15 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Entrant S1,8:30 AM,10:00 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,05 Pause Matin,10:00 AM,10:15 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Entrant S1,10:15 AM,11:00 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Repas 5h,11:00 AM,11:57 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Entrant S1,11:57 AM,4:30 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,10 Pause AM,4:30 PM,4:45 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Entrant S1,4:45 PM,5:15 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,7/5/17,7:48,SG- Telephone 3933_SG CRC Nanterre,8:30 AM,5:15 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Entrant S1,8:30 AM,9:30 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,05 Pause Matin,9:30 AM,9:45 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Entrant S1,9:45 AM,11:50 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Repas 5h,11:50 AM,12:47 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Entrant S1,12:47 PM,4:00 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,10 Pause AM,4:00 PM,4:15 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Entrant S1,4:15 PM,5:15 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,7/6/17,7:48,SG- Telephone 3933_SG CRC Nanterre,8:15 AM,5:00 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Entrant S1,8:15 AM,9:15 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,05 Pause Matin,9:15 AM,9:30 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Entrant S1,9:30 AM,12:25 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Repas 5h,12:25 PM,1:22 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Entrant S1,1:22 PM,3:00 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,10 Pause AM,3:00 PM,3:15 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Entrant S1,3:15 PM,5:00 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,7/7/17,7:48,SG- Telephone 3933_SG CRC Nanterre,8:00 AM,4:45 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Entrant S1,8:00 AM,9:00 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,05 Pause Matin,9:00 AM,9:15 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Entrant S1,9:15 AM,12:00 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Repas 5h,12:00 PM,12:57 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Entrant S1,12:57 PM,3:30 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,10 Pause AM,3:30 PM,3:45 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Entrant S1,3:45 PM,4:45 PM
